,NAME,Address,Phone,Area,ImageUrl
0,AC Marriott,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/AC-Marriot-320x320.jpg
1,Adolphus Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Adolphus-320x320.jpg
2,Aloft,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Aloft-320x320.jpg
3,Belmont Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Belmont-320x320.jpg
4,Cambria Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Cambria-320x320.jpg
5,Canopy by Hilton,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Canopy-320x320.jpg
6,Courtyard by Marriott,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Courtyard-by-marriot-320x320.jpg
7,Crowne Plaza Dallas,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/crowne-plaza-dallas-e1546627876794-320x320.jpeg
8,Dallas Marriott Downtown,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Lobby_JPG.jpg
9,Element by Westin,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Element-320x320.jpg
10,Fairfield Inn,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Fairfield-inn-320x320.jpg
11,Fairmont Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Fairmont-320x320.jpg
12,Hall Arts Hotel,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Hall-arts-320x320.png
13,Hampton Inn & Suites Dallas Downtown,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/hampton-inn-suites-dallas-320x320.jpg
14,Hilton Garden Inn Downtown Dallas,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/HIlton-garden-inn-320x320.jpg
15,Home 2 Suites by Hilton,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/home2-suites-by-hilton-320x311.jpg
16,Homewood Suites,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Homewood-320x320.jpg
17,Hotel Indigo,1712 Commerce,214-290-0111,Main Street District,https://downtowndallas.com/wp-content/uploads/2018/09/Hotel-indigo-320x320.jpeg
